grid_id,segment_count,total_length_m
920,275,95303.39122291209
921,332,101095.70769590785
922,246,77416.19759413744
923,174,58122.45677601187
924,284,88674.11440973554
925,368,111984.56214668065
926,454,130351.41698184371
927,273,81840.55386636493
928,199,57905.91988692469
929,284,81938.54443212485
930,151,46084.429483420805
931,102,36180.42616104465
932,118,36353.26650469553
933,143,40726.73171118653
934,317,81144.63765880765
935,329,89758.24495542045
936,307,85116.5995390615
937,368,91476.5756822032
938,235,66923.72758866519
939,305,68332.05831452338
940,232,78170.93357974115
941,84,19843.310220970983
942,30,11519.290808359521
943,27,10233.93252860881
944,58,19258.710269293053
945,64,21100.54612619433
946,35,11568.92022565319
947,35,11974.909079801215
948,24,8738.953059260073
949,11,2685.0869673320713
950,1,419.80906248001975
951,1,57.99914175463872
952,182,70279.09789781606
953,147,46908.61303789911
954,215,70350.67555721155
955,169,55232.96969985198
956,304,93324.2374684502
957,299,98930.23613082517
958,357,104434.58051232151
959,484,152006.5708639494
960,594,192507.35324774674
961,949,231344.7618077169
962,649,197398.6559666162
963,559,164775.83979787718
964,427,139000.93638984818
965,647,178871.63252371785
966,466,153702.06725047706
967,364,121632.96655111226
968,503,151486.83046690893
969,634,190362.03517693514
970,222,78972.43152997947
971,450,122692.76547509686
972,294,87795.82608081064
973,215,68229.57772341445
974,282,84198.75328283689
975,295,92923.51791818846
976,348,106788.17308849088
977,348,95685.94684693622
978,276,81280.46401630029
979,297,91463.93442596866
980,310,77776.56543986958
981,257,74893.39654916691
982,626,115920.2789950563
983,523,213438.345778921
984,533,186349.96915845558
985,599,190662.78146783644
986,399,121052.60035241485
987,442,143352.51623569292
988,230,85339.14614567862
989,425,148955.43051358336
990,213,73076.26234867795
991,156,49468.641235743504
992,51,15733.300932881179
993,43,13575.3424112513
994,33,12787.860465679236
995,24,8948.22850228407
996,27,10437.094234547618
997,30,8972.613663296479
998,31,8934.539324155745
999,25,5540.66513146625
1000,2,511.0382230409368
1001,254,101628.91232034961
1002,200,55339.45010796416
1003,458,121971.71204568628
1004,470,147012.4258317885
1005,373,122590.10676882997
1006,411,115692.28015389842
1007,471,143058.10736703998
1008,373,126317.27940703521
1009,493,152626.97276946224
1010,479,151119.5800723014
1011,419,132666.56653354078
1012,453,152247.06310409357
1013,337,106272.15098792312
1014,434,147241.70428194315
1015,574,168492.19791241345
1016,571,168966.23396712547
1017,664,209530.68438449476
1018,758,222628.59855761944
1019,243,84375.4358689932
1020,416,139974.85778044
1021,319,105948.46987725211
1022,183,63507.71155107077
1023,311,101236.02728521737
1024,269,87756.18619241942
1025,402,116946.41077698469
1026,310,97447.80822718432
1027,192,65110.18313195461
1028,163,58644.691260527245
1029,214,67962.75270528249
1030,361,104972.56286064304
1031,344,106109.24902942353
1032,389,133344.4388143847
1033,455,142384.89103118132
1034,489,170792.01733892132
1035,562,166413.15028788874
1036,601,212543.46708284636
1037,332,119597.67948802479
1038,558,122630.32805656048
1039,198,69772.37301352536
1040,358,109154.97777962654
1041,159,41286.81876367542
1042,93,21340.497762688614
1043,32,8499.977370867176
1044,19,7436.58401785392
1045,28,11616.396719762875
1046,29,7201.8734310093005
1047,36,11348.08684989575
1048,5,1934.683744028389
1049,2,559.2034149127985
1050,276,36805.569617362315
1051,80,29216.64650328262
1052,226,69893.84450899766
1053,650,145588.76752655464
1054,454,116166.8072431594
1055,308,90855.79490876819
1056,586,165764.63480168695
1057,428,129176.87409579896
1058,458,140841.2321205126
1059,600,159855.8375890411
1060,395,117461.35558868169
1061,468,171370.24651535557
1062,323,117322.37781131224
1063,484,166790.41140850924
1064,504,169157.58120727635
1065,559,205360.94143262433
1066,715,238234.71984421645
1067,828,254995.69283132898
1068,390,133656.23547723668
1069,464,145359.56122045364
