osm_id,name,fclass,grid_id,length_m,length_km
235308635,新兴路,tertiary,1325,649.6963210567144,0.649696321056714
235308635,新兴路,tertiary,1379,649.6963210567144,0.649696321056714
235308636,银河南巷,tertiary,1379,379.49522867049507,0.379495228670495
235308636,银河南巷,tertiary,1380,379.49522867049507,0.379495228670495
235308637,,residential,1377,58.52266642285576,0.058522666422856
235308753,南四合窑,residential,1487,194.6131527650294,0.194613152765029
235309889,二马路,unclassified,1121,976.0371434416398,0.97603714344164
235309889,二马路,unclassified,1170,976.0371434416398,0.97603714344164
235309889,二马路,unclassified,1073,976.0371434416398,0.97603714344164
235309889,二马路,unclassified,1122,976.0371434416398,0.97603714344164
235309891,向荣巷,residential,1121,499.61952812300547,0.499619528123005
235309891,向荣巷,residential,1122,499.61952812300547,0.499619528123005
235309895,,residential,1322,191.32940493138284,0.191329404931383
235309896,向荣街,residential,1121,438.9077872677133,0.438907787267713
235309896,向荣街,residential,1122,438.9077872677133,0.438907787267713
235311356,星火东巷,tertiary,875,375.34513434802756,0.375345134348028
235311358,明珠路,tertiary,874,498.0800915386305,0.49808009153863
235311358,明珠路,tertiary,875,498.0800915386305,0.49808009153863
235311361,,service,1027,666.4583278682758,0.666458327868276
235311361,,service,978,666.4583278682758,0.666458327868276
235397584,,living_street,1055,198.50710855695917,0.198507108556959
235397584,,living_street,1056,198.50710855695917,0.198507108556959
235397585,,footway,1055,39.20013810185712,0.039200138101857
235397585,,footway,1056,39.20013810185712,0.039200138101857
235397979,,service,1056,85.20625972288937,0.085206259722889
235398174,,residential,1006,397.9906647309483,0.397990664730948
235398175,,residential,1006,167.44558083561185,0.167445580835612
235398176,,footway,1006,131.42947978115126,0.131429479781151
235599410,,tertiary,854,731.6774328053086,0.731677432805309
235599410,,tertiary,855,731.6774328053086,0.731677432805309
235599411,,service,906,151.45140934139192,0.151451409341392
235599411,,service,907,151.45140934139192,0.151451409341392
235709091,胡家庙人行天桥,footway,1545,63.427369615725134,0.063427369615725
235709092,长乐公园人行天桥,footway,1541,45.14640317482688,0.045146403174827
235709625,,secondary_link,1546,321.5836215630817,0.321583621563082
235709625,,secondary_link,1547,321.5836215630817,0.321583621563082
235709626,含元路,secondary,1547,74.0104800797518,0.074010480079752
235709627,东元路,secondary,1547,1058.6676487925174,1.058667648792518
235709627,东元路,secondary,1548,1058.6676487925174,1.058667648792518
235709627,东元路,secondary,1549,1058.6676487925174,1.058667648792518
235710686,,unclassified,1604,889.8473277062349,0.889847327706235
235710686,,unclassified,1661,889.8473277062349,0.889847327706235
235710686,,unclassified,1548,889.8473277062349,0.889847327706235
235824702,永胜路,tertiary,1162,279.518471457439,0.279518471457439
235824703,笃实大道,residential,1210,557.54040375032,0.55754040375032
235824703,笃实大道,residential,1211,557.54040375032,0.55754040375032
235824704,文艺西路,residential,1063,299.04496260311544,0.299044962603115
235824704,文艺西路,residential,1112,299.04496260311544,0.299044962603115
235825586,新郭门,residential,1427,327.81592301384853,0.327815923013849
235825586,新郭门,residential,1483,327.81592301384853,0.327815923013849
236167831,,residential,1475,341.03228558865726,0.341032285588657
