grid_id,centroid_x,centroid_y,nearest_metro_distance,nearest_metro_name,nearest_bus_distance,nearest_bus_name
1112,34462.99661601597,3802020.015138603,214.92105693304833,文艺路,12.733943705620153,友谊路文艺路口
1113,34462.99661601597,3802520.015138603,410.39346833686267,文艺路,133.81075473261723,刁家村
1114,34462.99661601597,3803020.015138603,573.4685259708003,永宁门,152.60937008719142,文昌门
1115,34462.99661601597,3803520.015138603,787.2410925988532,永宁门,124.35504162152188,文昌门
1116,34462.99661601597,3804020.015138603,504.9869794670967,钟楼,143.74948045583443,端履门
1117,34462.99661601597,3804520.015138603,495.1501269467126,钟楼,149.1192897777548,新城广场
1118,34462.99661601597,3805020.015138603,558.5358778756936,北大街,336.3020619939287,北新街南口
1119,34462.99661601597,3805520.015138603,451.65762517000485,北大街,199.0913099188688,北新街南口
1120,34462.99661601597,3806020.015138603,720.1358763914923,安远门,174.68687847279347,北门里
1121,34462.99661601597,3806520.015138603,384.1343530295495,安远门,137.1549502467338,北关
1122,34462.99661601597,3807020.015138603,525.8542781880913,安远门,260.17857881562895,北稍门
1123,34462.99661601597,3807520.015138603,425.29665008924206,龙首原,365.53708497902136,北稍门
1124,34462.99661601597,3808020.015138603,361.3546431648492,龙首原,228.66873566980743,麟德路东段
1125,34462.99661601597,3808520.015138603,761.7592242280101,龙首原,281.62151228548646,方新村
1126,34462.99661601597,3809020.015138603,338.54360653410873,大明宫西,237.22133578991526,公交站_2521
1127,34462.99661601597,3809520.015138603,342.5087090430717,大明宫西,234.07171719550382,公交六公司
1128,34462.99661601597,3810020.015138603,706.7544487067519,青少年中心,228.11330486893516,雅荷花园
1129,34462.99661601597,3810520.015138603,261.7470279568938,青少年中心,157.93482124242678,市青少年活动中心
1130,34462.99661601597,3811020.015138603,370.83845879540206,青少年中心,131.9274688543248,未央路凤城三路口
1131,34462.99661601597,3811520.015138603,515.6281999213112,凤城五路,133.36854340762508,尤家庄
1132,34462.99661601597,3812020.015138603,93.54581989898087,凤城五路,12.401835370728831,未央路凤城五路口
1133,34462.99661601597,3812520.015138603,501.6265546071633,凤城五路,234.85217047132988,张家堡
1134,34462.99661601597,3813020.015138603,254.18545178289722,行政中心,38.533246313453624,张家堡
