i_id,运营公司id,共享单车编号,经度,纬度,获取时间
36330852,4312,10200326,108.96753394963754,34.25642832642237,2025-08-08 05:36:10
36332957,4312,10200326,108.96729818005744,34.25781423217749,2025-08-08 05:38:19
36335661,4312,10200326,108.96690635729377,34.257858891600776,2025-08-08 05:40:26
36339537,4312,10200326,108.96560916251958,34.25807949040626,2025-08-08 05:42:34
36340669,4312,10200326,108.9678317007643,34.258165822876805,2025-08-08 05:44:43
36343074,4312,10200326,108.9679089195477,34.25948897141328,2025-08-08 05:46:50
36345480,4312,10200326,108.96795243146438,34.258880531313345,2025-08-08 05:48:59
36347885,4312,10200326,108.9668456846819,34.25870763039033,2025-08-08 05:51:07
36350292,4312,10200326,108.96764664732476,34.25788090919891,2025-08-08 05:53:14
36352420,4312,10200326,108.96794798354723,34.2584099542297,2025-08-08 05:55:23
36355103,4312,10200326,108.96833534144848,34.25841909517413,2025-08-08 05:57:32
36358997,4312,10200326,108.96914974182918,34.258810754951824,2025-08-08 05:59:40
36360105,4312,10200326,108.9690388100096,34.258555765330925,2025-08-08 06:01:48
36364000,4312,10200326,108.9683015922066,34.257387908166336,2025-08-08 06:03:56
36364915,4312,10200326,108.96832358997474,34.25670764879168,2025-08-08 06:06:04
36368818,4312,10200326,108.96956737079516,34.256329136680165,2025-08-08 06:08:12
36369723,4312,10200326,108.96900984788648,34.257617635217336,2025-08-08 06:10:20
36371863,4312,10200326,108.96846235439962,34.257166289257846,2025-08-08 06:12:29
36374531,4312,10200326,108.96726012193868,34.25682748325735,2025-08-08 06:14:36
36376875,4312,10200326,108.96740395025348,34.25684513891685,2025-08-08 06:16:44
36379340,4312,10200326,108.9681478248917,34.25709048058766,2025-08-08 06:18:53
36381722,4312,10200326,108.96795807057168,34.2558763935769,2025-08-08 06:21:01
36384343,4312,10200326,108.96900002710508,34.25441778745085,2025-08-08 06:23:08
36386448,4312,10200326,108.9691383552648,34.25393261342075,2025-08-08 06:25:17
36389151,4312,10200326,108.9688862225034,34.253506775607946,2025-08-08 06:27:25
36393019,4312,10200326,108.96874190761018,34.253423398201086,2025-08-08 06:29:33
36393955,4312,10200326,108.96766948962434,34.25386533003492,2025-08-08 06:31:41
36396008,4312,10200326,108.9697916288356,34.25387111299099,2025-08-08 06:33:50
36398762,4312,10200326,108.9698712481479,34.2533899982384,2025-08-08 06:35:57
36402582,4312,10200326,108.9699456788549,34.25250587647464,2025-08-08 06:38:06
36403570,4312,10200326,108.9691782027236,34.2534984171562,2025-08-08 06:40:15
36406167,4312,10200326,108.96945196986708,34.2534498774109,2025-08-08 06:42:23
36408572,4312,10200326,108.9688692406686,34.25363602616739,2025-08-08 06:44:31
36410685,4312,10200326,108.96817476449417,34.25371463574005,2025-08-08 06:46:39
36413382,4312,10200326,108.96800425151434,34.253636211927706,2025-08-08 06:48:47
36417261,4312,10200326,108.9679597940611,34.253370273678755,2025-08-08 06:50:56
36418192,4312,10200326,108.96758704701598,34.25370916801081,2025-08-08 06:53:03
36420279,4312,10200326,108.96859891198524,34.25457576021885,2025-08-08 06:55:11
36423000,4312,10200326,108.96728504864656,34.25461237212306,2025-08-08 06:57:20
36425403,4312,10200326,108.96815851229584,34.25489935214562,2025-08-08 06:59:28
36427807,4312,10200326,108.96993304236722,34.25437754045274,2025-08-08 07:01:35
36430196,4312,10200326,108.96916823549095,34.25493008663115,2025-08-08 07:03:44
36432805,4312,10200326,108.969150980516,34.25473255335348,2025-08-08 07:05:52
